Identifier,Company Name,Country of Exchange,"Company Market Cap(USD)","Historic P/E(FY0)","Total Debt to Total Equity, Percent(FY0)",Enterprise Value To EBITDA (Daily Time Series Ratio),Enterprise Value To Sales (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),"Enterprise Value (Daily Time Series)(USD)",Price To Book Value Per Share (Daily Time Series Ratio),"Quick Ratio(FY0)","Current Ratio(FY0)","Total Assets, Reported(FY0, USD)",Dividend yield,"Revenue(FY0, USD)","Net Income After Taxes(FY0, USD)","Capital Expenditures(FY0, USD)","Retained Earnings, TTM(FI0, USD)"
SCD.HM,Chuong Duong Beverages JSC,Vietnam,15366291.62,14.87,0,6.13,0.51,10.51,0,8652211.99,1.72,2.49,2.66,12726025.07,0.04,15783133.04,1164171.41,-79319.83,934071.75
SDN.HN,DongNai Paint Corp,Vietnam,2337392.55,7.19,0.32,3.61,0.37,10.47,0.22,2452259.83,1.71,1.06,1.48,2880992.16,0.07,6340882.77,296180.74,-240830.13,214847.73
BVS.HN,Bao Viet Securities JSC,Vietnam,42340917.24,7.4,0.02,3.33,1.34,9.76,0.07,16270024.78,0.65,6.98,6.98,74191586.92,0,12774886.83,5164821.18,-120398.75,4420895.47
BHS.HM,Bien Hoa Sugar JSC,Vietnam,101572214.6,9.08,1.3,11.31,1.16,11.06,0.54,211826473.9,1.14,0.63,1.11,111401360.5,0.03,136136585.6,4262233.34,-3536601.6,7114763.49
VPK.HM,Vegetable Oil Packing JSC,Vietnam,6731113.5,7.42,0.6,8.34,1.2,8.96,0.56,14094282.55,0.89,1.55,2.04,13332650.9,0.11,13106373.7,1099020.51,-3680921.35,757713.46
TRC.HM,Tay Ninh Rubber JSC,Vietnam,28937298.6,10.84,0.1,13.81,2.17,14,0.19,32126369.77,0.46,3.05,3.81,73330474.43,0.07,16145340.7,2437207.51,-12626475.4,2093669.2
RIC.HM,Royal International Corp,Vietnam,27714153.03,7.15,0.15,244.81,2.87,6.76,0.22,32323243.45,0.58,1.83,1.91,60010454.49,0,11948490.79,4551872.71,-2768104.83,3883285.05
GTA.HM,Thuan An Wood Processing JSC,Vietnam,7390977.44,11.68,0.47,4.64,0.21,11.9,1.1,4643666.56,1.08,1.28,1.69,13657567.44,0.06,21590666.25,617945.7,-453972.9,619342.42
ACL.HM,Cuulong Fish JSC,Vietnam,7905338.35,6.06,2.76,9.1,0.84,6.19,0.87,44919527.12,0.61,0.46,1.01,53813372.67,0.06,50688396.19,1295937.01,-2274324.02,810542.59
HBC.HM,Hoa Binh Construction & Real Estate Corp,Vietnam,75072877.79,20.79,1.91,9.86,0.53,20.15,0.85,134142190.7,1.51,0.9,1.06,324343033.1,0,225890891.9,3684840.89,-16631416.5,3813308.96
TSC.HM,Techno-Agricultural Supplying JSC,Vietnam,48238051.07,11.64,0.06,14.55,0.62,7.18,0.11,38045698.26,0.66,4.66,5.43,86995163.66,0,52119078.86,5032582.05,-1217948.96,4292636.65
DST.HN,Nam Dinh Educational Book and Equipment JSC,Vietnam,24763708.38,71.64,0,26770.95,21.08,227.23,0.01,32905452.04,4.1,16.45,16.98,7790353.78,,1588799.8,34916.32,,
SC5.HM,Construction JSC No5,Vietnam,16429275.22,11.31,1.13,4.98,0.18,10.51,0.65,12626640.18,1.12,0.62,1.3,100276359.6,0.08,63665689.96,1591225.27,-1435.62,1537458.3
UIC.HM,Idico Urban and House Development Investment JSC,Vietnam,7805227.35,6.98,0.47,4.6,0.11,7.5,0.44,10139567.35,0.85,0.67,1.29,17819185.72,0.07,86529285.7,1286181.9,-461830.61,1034922.22
VNE.HM,Vietnam Electricity Construction Joint Stock Corp,Vietnam,37950462.88,8.44,0.45,13.15,1.04,12.07,0.39,48579187.99,0.82,1.21,1.29,83250940.61,0,46421345.59,4454164.51,-4830098.7,2622986.42
PET.HM,PetroVietnam General Services Corp,Vietnam,50772539.58,6.49,1.32,4.82,0.16,6.62,1.08,77537013.51,0.81,0.96,1.35,228855066.8,0.12,473863435.5,9425926.76,-5684090.68,3768855.67
HT1.HM,Ha Tien 1 Cement JSC,Vietnam,401282062.3,11.54,1.35,7.55,1.93,15.05,0.4,671370277.8,2.04,0.25,0.44,530226127,0,338454176.8,32860075.22,-7035703.71,27804150.17
TNC.HM,Thong Nhat Rubber JSC,Vietnam,7581453.63,14.33,0,,0.07,19.85,0,243996.42,0.56,9.17,10.08,14282890.66,0.06,3710023.72,573509.01,-893462.62,387662.97
PGS.HN,PetroVietnam Southern Gas JSC,Vietnam,41173371.36,12.42,0.49,1.77,0.12,4.23,0.56,31203725.87,0.88,0.84,0.95,117747538.8,0.12,264962084.9,7321868.54,-10778625.4,9920289.06
PVC.HN,Drilling Mud Corp,Vietnam,36475116.36,8.95,0.38,6.5,0.34,17.02,0.31,48408428.35,0.86,1.35,2.32,88625159.98,0.08,160333138.1,9687924.79,-1506730.69,2233128.35
HDC.HM,Ba Ria Vung Tau House Development JSC,Vietnam,24838861.71,11.97,0.66,14.8,2.19,13.02,0.43,44688566.98,0.92,0.6,2.77,53256451.76,0,18841263.49,2162347.49,-256803.99,1970977.74
VTO.HM,Vietnam Tanker JSC,Vietnam,30002088.3,9.78,0.66,2.85,0.94,9.09,0.55,56227994.91,0.6,0.4,0.52,87187140.55,0.06,59387259.87,2439248.99,-8204146.29,3317175.8
SCJ.HN,Sai Son Cement JSC,Vietnam,5415288.22,,0.5,21.18,1.86,,0.48,11406071.43,0.5,0.81,0.96,22995165.38,0,14242711.37,-223923.48,-324109.23,-626638.93
VIC.HM,Vingroup JSC,Vietnam,4755970853,71.89,1.49,17.24,3.42,74.43,0.27,6554895491,4.04,0.61,1.04,6472182944,0,1514589249,66791612.25,-645677007.1,62780734.02
BMC.HM,Binh Dinh Minerals JSC,Vietnam,8874063.73,17.14,0.03,7.23,1.77,18.24,0.03,8976943.66,1,0.93,3.74,10577115.21,0.19,5481821.13,537113.74,,482164.1
HEV.HN,Higher Educational and Vocational Book JSC,Vietnam,563909.77,9.61,0,4.17,0.34,6.83,0,346409.69,0.79,3.04,5.04,854865.39,0.1,1002815.71,80107.45,,27330.66
HPG.HM,Hoa Phat Group JSC,Vietnam,1243072708,6.46,0.47,4.64,1.04,7.37,0.22,1336679691,1.76,0.5,1.19,1134642757,0.03,1221215841,155888900.7,-150648236,165446262.4
HHC.HN,Haiha Confectionery JSC,Vietnam,14922462.41,10.26,0,4.18,0.27,9.39,0,9836046.53,1.05,1.12,1.67,17094975.54,0.05,34776358.19,1176541.1,-1144800.95,1150681.77
S96.HNO,Song Da No 9.06 JSC,Vietnam,449336.68,,0.29,,36.98,,0.65,1549348.28,0.16,1.06,1.12,19680577.29,,43761.14,-315696.87,-148879.36,-315696.87
C92.HN,Construction and Investment JSC No 492,Vietnam,7133351.24,20.78,1.02,19.58,0.56,25,0.34,9874686.81,2.57,0.43,1.16,14591467.9,0.04,15019304.03,284290.58,-916576.94,14337.23
CDC.HM,Chuong Duong Corp,Vietnam,7310536.27,7.64,1.09,9.89,0.99,9.84,0.72,16373087.78,0.62,0.64,1.9,35867046.2,0.05,15694447.54,762609.58,0,751251.33
KLS.HN,Kim Long Securities Corp,Vietnam,87275107.41,,0,,-1.52,,,-12255876.31,0.85,99.14,99.14,102111400.8,0.07,7581163.36,-3042418.33,-1516.9,-1146808.21
TST.HN,Telecommunication Technical Service JSC,Vietnam,1181525.24,7.23,0.28,13.5,0.6,5.66,0.27,2342740.76,0.28,1.19,1.46,9304192.1,0,3439173.45,162776.05,-100271.35,194125.77
VC6.HN,Vinaconex 6 JSC,Vietnam,3723594.7,28.88,1.18,18.31,0.37,30.34,0.76,8574466.85,0.74,0.68,1.07,23532533.05,0.03,23426329.88,103508.99,-168870.96,116048.18
VC3.HN,Construction JSC No3,Vietnam,29243934.72,10.71,0.13,9.74,1.27,14.04,0.08,27026898.23,2.66,0.57,1.16,54823019.2,0.03,21220498.12,1911242.18,-3432967.24,2149012.22
TTF.HM,Truong Thanh Furniture Corp,Vietnam,242643104.2,19.28,1.03,18.52,2.88,27.09,0.29,346283177.5,3.08,0.59,1.69,204178851.8,0,122412790.1,9116191.73,-3984261.03,8680088.91
ASP.HM,An Pha Petroleum Group JSC,Vietnam,7520047.4,,0.54,153.79,0.25,,0.65,14705802.02,0.47,0.69,0.81,33440018.67,0,59084633,-773461.77,-101412.83,-917379.43
SJM.HNO,Song Da 19 JSC,Vietnam,514679.56,,0.53,,1.55,,0.45,901707.38,0.64,0.82,1.01,3125876.8,0,608489.91,-108201.39,,
DPM.HM,PetroVietnam Fertilizer and Chemicals Corp,Vietnam,490393809.5,8.83,0.03,3.18,0.65,9.68,0.02,274174494.7,1.24,3.66,4.4,485728635.4,0.14,434383756.4,67725148.98,-42720274.47,28706688.8
SRB.HNO,Sara Group JSC,Vietnam,532581.45,,0.01,,4.14,,0.08,530398.56,0.18,17.93,18.19,3072475.83,0,109388.48,-111046.95,0,-119206.99
DQC.HM,Dien Quang Lamp JSC,Vietnam,94992666.67,8.89,0,7.61,1.34,10.78,0,69458689.95,1.85,2.64,3.38,67356150.28,0.03,48168674.14,9344393.11,-1766839.61,6850610.64
S12.HNO,Song Da No12 JSC,Vietnam,1029359.11,,0.52,,0.76,,0.48,1476534.14,9.35,0.82,1.09,16318463.83,0,2202868.08,-2143858.17,-4083.99,-2043249.85
PIT.HM,Petrolimex International Trading JSC,Vietnam,5151397.35,,2.95,23.03,0.33,,0.96,45648727.42,0.61,0.59,1.11,36035215.76,0,148387645.2,-353274.32,-209868.67,-398022.28
TNG.HN,TNG Investment and Trading JSC,Vietnam,24658591.22,6.36,2.2,8.88,0.86,6.33,0.67,76618833.59,1.28,0.39,0.77,71781414.81,0,85584520.19,3171725.05,-10825027.99,3281341.68
SJC.HN,Song Da 1.01 JSC,Vietnam,2141514.31,37.96,2.3,163.24,18.48,53.87,1.04,15279076.26,0.47,1.77,5.14,24339936.17,0,575513.84,51199.17,-4938.53,39893.88
B82.HN,JSC No 482,Vietnam,1275510.2,44.32,3.66,3.81,0.25,41.46,1.07,5373687.1,0.45,0.36,0.98,24766437.71,0,19839888.38,27642.78,-727238.12,25011.55
DCS.HN,Dai Chau Group JSC,Vietnam,13765602.32,25.49,0.05,12.59,0.83,34.97,0.12,14638587.05,0.47,7.94,9.23,30563271.4,0,23379946.31,357900.93,-165258.01,386538.21
TJC.HN,Transportation and Trading Services JSC,Vietnam,3617973.51,9.11,0.61,7.56,0.68,7.9,0.47,6030874.1,0.63,0.62,0.7,9854712.02,0.07,8819009.3,472942.08,-2928116.96,463647.8
VCS.HN,Vicostone JSC,Vietnam,232434535.1,8.57,1.51,9.04,2.23,11.22,0.19,280491460.8,4.66,0.61,1.38,123731328.4,0.04,116377444.5,17999705.47,-3639888.51,12707527.47
HCT.HN,Hai Phong Cement Trading and Transportation JSC,Vietnam,920476.5,10.65,0.02,3.45,0.2,10.61,0.1,865957.03,0.51,2.42,2.63,2167665.09,0.05,4053191.15,75818.03,-184743.61,89751.33
SGT.HM,Saigon Telecommunication & Technologies Corp,Vietnam,11922922.23,18.23,1.74,9.6,1.88,16.03,0.76,46905565.24,0.57,2.19,2.66,96578145.99,,24012798.99,993405.47,-2105298.34,742394.67
LBE.HN,Long An School Book and Equipment JSC,Vietnam,637607.41,7.93,0,4.12,0.1,7.41,0,273108.76,0.72,5.58,7.45,978458.72,0.1,2837960.02,85441.41,,25606.54
KBC.HM,Kinhbac City Development Holding Corp,Vietnam,304847956.5,9.95,0.36,23.26,7.5,12.79,0.25,449385920.6,0.96,1.24,4.08,607371314.9,0,63827932.25,26782137.69,-1766159.94,24630328.37
HBE.HN,Hatinh Book and Equipment Education JSC,Vietnam,409386.76,7.27,0.05,0.73,0.1,5.57,0.2,217181.74,1.19,1.66,2.05,1263001.31,0,2093658.32,79979.72,-1415.4,80877.89
SBT.HM,Thanh Thanh Cong Tay Ninh JSC,Vietnam,281591763.8,10.44,0.61,20.65,2.91,21.07,0.38,463906288.6,2.67,1.32,2.18,151205647.2,0.03,94803229.17,8667694.33,-9496455.78,13153067.15
DXV.HM,Danang Building Material Vicem JSC,Vietnam,1816595.06,9.72,0,-1.34,-0.02,9.64,,-490677.59,0.36,1.89,2.69,7140509.65,0,23777595.85,176627.75,0,189076.78
HSI.HNO,General Materials Biochemistry Fertilizer JSC,Vietnam,492302.18,,,67.67,0.74,,0.99,13801136.46,-0.88,0.75,1.31,17426516.73,0,18796344.46,-974616.47,-484715.57,-952506.74
NTL.HM,Tu Liem Urban Development JSC,Vietnam,30571403.51,8.54,0,5.12,1.35,7.9,0,29398801.25,0.8,0.67,4.2,56831954.7,0.09,21051462.59,4195192.47,-48569.24,4017097.1
MIC.HNO,Quang Nam Mineral Industry Corp,Vietnam,1265629.46,,,7.05,0.48,,0.34,1803484.27,0.6,,,3355823.98,0,5311769.44,,-111836.06,
L10.HM,Lilama 10 JSC,Vietnam,6572234.16,4.68,1.4,4.8,0.33,4.72,0.85,17567655.06,0.69,1.08,1.86,44712772.67,0.02,53839295.59,1352546.23,-456212.81,1379507.11
HCC.HN,Intimex Hoa Cam Concrete JSC,Vietnam,4599602.76,6.61,0.46,4.37,0.44,5.88,0.22,5875915.13,1.61,1.2,1.29,5712676.74,0.07,12674353.83,713398.61,-698833.6,785136.19
SDJ.HNO,Song Da No25 JSC,Vietnam,291601.77,13.51,6.09,2.72,0.23,9.55,1.05,1496268.98,1.28,0.32,0.86,6349825.75,0,4763158.94,21454.37,-80256.05,21454.37
VHC.HM,Vinh Hoan Corp,Vietnam,156975991.5,8.92,0.85,8.6,0.8,12.4,0.4,235598433.3,1.71,0.85,1.57,193815078.3,0.04,288851877.3,14271916.65,-15488416.57,7538929.86
VC7.HN,No 7 Viet Nam Construction JSC,Vietnam,5236305.05,14.47,0.27,-4.3,-0.34,13.46,,-5918777.68,1.04,0.9,1.15,21934312.25,0.05,16794543.54,318127.72,-634634.21,387877.52
SD2.HN,Song Da 2 JSC,Vietnam,5293277.62,9.84,1.85,8.52,0.58,15.4,0.83,18046325.8,0.55,0.73,1.42,39993332.85,0.09,30686641.93,441739.87,-1327869.87,344958.85
PVS.HN,Petrovietnam Technical Services Corp,Vietnam,379847296.8,5.41,0.22,2.45,0.22,6.35,0.4,220243959.4,0.84,1.5,1.62,1176025489,0.06,1039007912,66438561.28,-34385909.27,59946511.09
PVI.HN,PVI Holdings,Vietnam,252916961.2,10.01,0.05,95.51,1.16,9.92,0.03,240784502.2,0.88,,,689290472.2,0.04,,25634085.24,-2116096.55,26264635.94
SRA.HN,Sara Vietnam JSC,Vietnam,125313.28,,0,,53.5,,0,122906.29,0.22,2.12,2.12,1062098.44,,2280.82,-23180.05,0,-11189.46
ANV.HM,Nam Viet Corp,Vietnam,21140252.42,344.42,1.27,10.67,0.84,,0.78,94555977.13,0.37,0.32,1.11,145643767.6,0.13,110961883.4,70767.58,-2980773.07,-2855253.13
LSS.HM,Lam Son Sugar Joint Stock Corp,Vietnam,50125313.28,,0.5,7.67,1.17,18.01,0.47,89473952.92,0.72,0.6,1.1,112187375.2,0.04,33749094.28,707186.59,-4452641,1897301.03
DTC.HNO,Dong Trieu Viglacera JSC,Vietnam,1181525.24,123.29,,5.49,0.88,4.21,0.86,7354123.97,-0.78,0.09,0.35,10793911.63,0,7973060.83,8957.17,-138975.2,279262.72
HUT.HN,Tasco JSC,Vietnam,72359792.05,8.73,2.16,10.46,1.99,4.86,0.77,235924005,0.73,2.64,2.72,315229131.4,0.07,99888802.08,7159476.25,-63533543.11,10739049.31
PVE.HN,PetroVietnam Engineering Consultancy JSC,Vietnam,10069817.4,5.44,0.97,8.38,0.72,6.97,0.72,26806330.67,0.68,0.72,1.25,45892146.96,0.09,36072179.97,1535448.42,-290967.81,399500.3
LUT.HN,Luong Tai Construction JSC,Vietnam,2410311.49,22.97,1.09,5.4,0.95,22.13,0.78,10210207.88,0.31,0.79,1.19,23864099.12,0,8626500.53,84008.79,-484430.6,115385.41
DAC.HNO,Viglacera Dong Anh JSC,Vietnam,386805.25,,0.91,,0.43,,0.54,807812.56,0.82,0.26,0.54,1496342.02,,1866280.77,-285287.42,-2580.07,-285287.42
VE9.HN,VNECO9 Investment & Construction JSC,Vietnam,3736680.45,55.33,0.37,6.74,1.37,,0.25,8101006.35,0.72,1.91,2.12,8781873.86,0,2556600.23,73179.85,-24688.61,
NGC.HN,Ngo Quyen Processing Export JSC,Vietnam,823464.23,9.69,2.98,9.57,0.34,3.35,0.78,3638467.41,0.9,0.22,0.68,4853804.82,0.11,10616956.18,80668.66,-170631.03,70751.96
VSC.HM,Vietnam Container Shipping JSC,Vietnam,103799604,12.26,0.34,7.44,2.97,10.51,0.22,123308424.4,2,1.54,1.56,98932927.46,0.03,41273254.45,12308249.44,-26242189.52,9443521.68
VHG.HM,Quang Nam Rubber Investment JSC,Vietnam,31361926.96,9.56,0.04,34.77,0.69,8.23,0.07,36037705.12,0.43,7.57,7.7,83990095.85,0,29344799.03,3361854.69,-902028.34,2944852.46
CAP.HN,Yenbai Joint Stocks Forest Agricultural Products and Foodstuff Co,Vietnam,9891060.24,4.48,0.1,4.78,0.82,7.35,0.12,10537047.41,2.84,1,2.21,4949406.59,0.06,13650512.67,1423095.86,-77137.03,1379876.1
L62.HN,Lilama 69 - 2 JSC,Vietnam,1773117.49,,1.78,8.41,0.6,23.3,0.83,9028511.61,0.44,0.78,1.07,18900198.28,0,14480616.61,68414.98,-147725.89,78589.93
YBC.HNO,YenBai Cement and Minerals JSC,Vietnam,1045010.74,,8.16,,,,0.93,12104370.94,1.09,0.18,0.54,19342356.05,0,20634630.35,254250.11,-2369663.92,-945887.63
BCC.HN,Bim Son Cement JSC,Vietnam,58653828.27,4.93,1.37,5.23,0.83,8.71,0.64,162209820.1,0.78,0.19,0.41,228187734.2,0,184745554.6,11271468.57,-750100.96,6956425.75
BTS.HN,Vicem But Son Cement JSC,Vietnam,42462803.01,6.91,1.78,6.14,1,40.07,0.72,136461639.5,0.76,0.16,0.43,180579591.9,0,132522383.2,6316917.82,-3045997.73,1064668.26
CJC.HN,Central Area Electrical Mechanical JSC,Vietnam,3222341.57,17.26,1.86,6.01,0.38,14.1,0.48,5897646.5,1.36,0.99,1.33,9022940.93,0.06,16001081.43,226840.94,-103853.52,59160.73
CTB.HN,HaiDuong Pump Manufacturing JSC,Vietnam,4151002.51,11.41,1.41,7.51,0.46,10.48,0.56,7195036.85,1.24,0.41,1.02,15930650.9,0.06,15428706.53,467574.74,-718266.5,373591.77
CTN.HNO,Underground Works Construction JSC,Vietnam,342560.84,,,,0.51,,0.88,2501099.37,-0.22,0.53,0.81,23236417.95,0,9555817.09,-2316145.1,-797881,
EBS.HN,Educational Book JSC in Ha Noi City,Vietnam,3646312.84,10.44,0,4.61,0.33,10.03,0,2241000.24,0.74,2.43,3.97,6845593.77,0.08,6480481.59,365285.33,-111831.1,297939.73
DAE.HN,Educational Book in Da Nang City JSC,Vietnam,1026217.51,5.91,0.07,2.86,0.29,6.24,0.1,810505.02,0.85,2.05,3.48,1667163.52,0.1,2762417.06,200781.42,-1728.2,63972.65
HAI.HM,HAI Agrochem JSC,Vietnam,26773473.93,,0.37,9.3,0.48,12.53,0.62,34923399.69,0.47,1.29,2.35,96292385.95,,80942877.89,3271449.2,-1773968.63,3357213.16
HLY.HN,Viglacera HaLong I JSC,Vietnam,460930.07,,0.56,3.5,0.25,6.52,0.35,657386.11,0.51,0.28,0.73,1707848.04,0,2569379.36,38895.23,-71.17,70943.27
HJS.HN,Nam Mu Hydropower JSC,Vietnam,15507506.98,8.75,0.97,5.86,3.43,9.16,0.43,25568108.76,1.24,1.52,1.53,24324405.13,0,7280821.3,1502609.88,0,1472028.34
GMC.HM,Saigon Garment Manufacturing Trade JSC,Vietnam,19901936.72,5.94,1.56,7.37,0.5,6.39,0.43,33255745.35,1.92,0.66,1.07,37220352.59,0.08,66817850.37,2920081.5,-1775240.8,2099598.28
HNM.HN,Hanoi Milk JSC,Vietnam,7518796.99,92.71,0.33,10.56,0.72,28.99,0.29,10053744.11,0.81,1.38,1.84,15161181.4,0,11913002.74,85828.9,-655458.9,166211.73
VBH.HN,Viettronics Binh Hoa JSC,Vietnam,2076620.12,,0,,0.49,,0,1908420.42,2.51,3.34,4.56,1172767.06,0,3983537.4,-250330.08,0,-322147.41
VC2.HN,Viet Nam Construction JSC No2,Vietnam,10633727.18,8.84,1.06,10.66,0.63,16.47,0.62,20064756.13,0.96,0.53,1.24,69590115.4,0.06,29946547.73,658014.81,-44498.95,62155.71
TXM.HN,VICEM Gypsum and Cement JSC,Vietnam,2192982.46,22.12,0,,0.01,26.38,0,332334.57,0.44,2.57,2.95,7063455.6,0.08,25166925.43,147793.06,-45921.71,82417.44
TPH.HN,Hanoi Textbook Printing JSC,Vietnam,594324.87,23.57,0,3.89,0.59,12.84,0,464451.6,0.7,4.34,5.52,1746811.26,0.13,742027.27,55846.17,-138725.79,56387.97
TLT.HNO,Viglacera Thang Long JSC,Vietnam,7445275.69,,,,,,0.4,12215658.15,-16.36,,,9673236.14,0,19688077.3,,-108144.22,
LTC.HN,Low Current Telecom JSC,Vietnam,1149373.43,,,17.84,0.78,15.52,0.75,5403348.88,0.36,,,14936426.81,,8457112.93,,-58100.78,
MCO.HN,BDC Viet Nam Construction and Investment JSC,Vietnam,477542.76,83.98,0.88,28.71,1.07,100.5,0.81,2518977.61,0.2,0.56,1.04,8208354.5,0,2463817.42,4782.45,-78641.31,4768.88
MCP.HM,My Chau Printing & Packaging Holdings Co,Vietnam,8218846.36,7.64,0.42,4.51,0.66,6.22,0.31,11155949.29,0.87,0.74,1.85,14568738.69,0.07,16958223.39,789757.79,-152390.93,277082.87
TCR.HM,Taicera Enterprise Co,Vietnam,16941950.14,6.37,0.93,3.59,0.42,5.11,0.68,36996814.09,0.59,0.51,1.09,68979856.21,0,91793308.33,1836053.94,-1249775.66,3286339.14
MEC.HN,Song Da Mechanical Assembling JSC,Vietnam,1557800.75,61.29,3.25,23.24,1.37,97.23,0.91,23427666.04,0.26,0.68,0.98,51731904.94,0,17368694.82,10682.85,-1351490.71,17128.18
NBC.HN,Vinacomin NuiBeo Coal JSC,Vietnam,11756792.89,8.01,1.64,5.23,0.79,10.75,0.77,49102885.01,0.67,0.42,0.91,65711663.51,0.08,60779194.53,2281935.42,-21209394.38,1304251.62
NTP.HN,Tien Phong Plastic JSC,Vietnam,203026788.1,10.53,0.66,9.7,1.49,12.35,0.19,248102012.1,2.77,0.73,1.24,144647743.9,0.04,158191353,16288140.39,-15468273.39,16470852.62
NST.HN,Ngan Son JSC,Vietnam,4287868.12,,1,3.11,0.26,,0.64,10678280.04,0.81,0.89,1.04,27050017.58,0.1,36467540.85,-1115220.81,-289505.68,-1085107.02
NPS.HN,Phu Thinh Nha Be Garment JSC,Vietnam,1175125.31,94.72,0.27,14,0.75,44.31,0.27,1487952.28,0.78,0.23,0.44,3390944.53,0.12,1888720.62,16418.42,-54543.04,26604.08
STP.HN,Song Da Industry Trade JSC,Vietnam,2281256.38,7.51,0.07,4.05,0.22,5.7,0.27,2595580.63,0.35,4.21,5.09,7588112.17,0,10884568.23,224394.73,-469892.79,243732.31
SVC.HM,Saigon General Service Corp,Vietnam,42475352.04,11.6,0.98,7.37,0.17,9.88,0.43,81478804.17,1.15,0.57,1.07,122671795.8,0.04,439944057.1,7263188.41,-5668384.69,4352844.97
STC.HN,Book and Educational Equipment JSC,Vietnam,6592542.96,14.84,0.14,8.69,0.53,16.61,0.09,6918207.08,1.53,1.57,2.46,6317032.04,0.05,13071402.42,621722.44,-537872.69,84237.86
TBC.HM,Thac Ba Hydropower JSC,Vietnam,68206229.86,14.49,0,7.11,4.88,14.43,0,52950889.93,1.75,13.1,13.28,38807814.56,0.08,11169360.17,5128596.88,-1945571.48,4916193.13
PAN.HM,PAN Group JSC,Vietnam,175614936.2,13.85,0.26,11.81,1.4,11.49,0.11,181690601,1.78,1.56,2.41,164295997.3,0.02,117864398.2,14014379.63,-5520842.95,13119734.06
SGD.HN,Educational Book JSC in Ho Chi Minh City,Vietnam,1718962.59,10.7,0,8.31,0.31,10.15,0,1464390.34,0.74,2.03,2.84,3763687.49,0.16,4452992.92,148661.82,-151449.98,162648.84
PLC.HN,Petrolimex Petrochemical Corporation JSC,Vietnam,113183128.2,8.88,2.21,6.32,0.58,8.22,0.52,162551529.3,2.13,0.83,1.14,184667435,0.1,307652189.8,14617883.43,-9714326.2,13859257.52
POT.HN,Post and Telecommunication Equipment JSC,Vietnam,13739442.12,10.53,1.82,9.04,0.38,9.46,0.78,31308166.29,0.95,0.98,1.37,63156662.16,0.05,72308871.64,1239078.86,-1822144.89,794725.57
PPG.HNO,Phu Phong Corp,Vietnam,442305.76,,9.67,,0.61,,0.93,5408110.31,0.79,0.16,0.52,6919333.88,0,8756672.32,-1083463.89,,-1083463.89
SDY.HN,Song Da Yaly Cement JSC,Vietnam,1953544.58,,1.73,,0.62,,0.48,3316374.33,2.05,0.88,1.08,4421713.46,0,7163664.38,-872773.86,-45068.51,-856799.03
VTS.HN,Viglacera Tu Son JSC,Vietnam,904045.83,146.39,0.15,6.41,0.2,,0.56,491424.66,0.45,1.55,2.95,2570208.37,0,2249601.16,4983.57,-24199.8,-3194.4
VSP.HNO,Viet Hai Shipping and Real Properties Corp,Vietnam,1620452.17,,4.1,3.57,2.84,,1.01,1622194.59,-0.28,0.87,0.95,138654469.3,0,30287604.65,-25363939,-3342453.03,
SJ1.HN,Hung Hau Agricultural Corp,Vietnam,6031426.85,9.26,1.62,9.66,0.71,8.18,0.75,16744286.02,0.97,0.7,1.09,17946586.17,0.05,22834364.56,721903.3,-1064362.03,727927.53
SD9.HN,Song Da No 9 JSC,Vietnam,16552641.87,5.64,1.3,4.58,1.28,5.57,0.63,56305754.75,0.58,0.99,1.34,82633396.4,0,52880455.7,3864183.67,-158040.37,3054175.54
SIC.HN,Song Da Investment Development JSC,Vietnam,6301463.23,,1.43,7.97,4.43,,0.64,15561632.49,0.79,0.33,0.34,31019519.18,0,3533983.95,65445.83,-35529.6,-53711.2
SD7.HN,Song Da 7 JSC,Vietnam,3605442.18,,2.05,8.08,1.16,,0.82,38956737.43,0.19,0.58,0.95,78089842.68,0,37413038.62,-649274.25,-1999100.15,-911818.94
PSC.HN,Petrolimex Saigon Transportation and Service JSC,Vietnam,3705692.8,8.63,0.41,3.58,0.31,4.23,0.38,5659835.85,0.7,0.5,0.54,9659766.08,0.09,18590045.06,549428.13,-1636910.9,252263.74
SD5.HN,Song Da No 5 JSC,Vietnam,12567058.65,7.98,2.02,6.7,0.62,7.02,0.8,63987291.7,0.57,0.63,1.02,94823932.35,0.17,112399887,1908904.48,-7100987.94,1863422.68
SD3.HNO,Song Da 3 JSC,Vietnam,4797515.45,18.1,2.87,,,,0.93,26581004.11,0.35,0.49,0.92,69272469.87,0.08,36740958.58,325826.61,-3011270.76,
VTV.HN,Vicem Materials Transport Cement JSC,Vietnam,30998752.01,10.75,1.17,11.75,0.36,16.3,0.47,47961818.76,1.21,0.85,1.19,57243021.71,0.03,140207039.4,1846095.02,-8818483.88,1900462.72
PTC.HM,Post and Telecommunications Investment and Construction JSC,Vietnam,5800214.5,,0.67,,0.54,2.86,1.25,6045465.02,0.56,1.04,1.25,27525023.44,,7247156.65,-484013.2,-306014.81,2135493
VMC.HN,Vimeco JSC,Vietnam,13292158.97,10.02,1.49,5.42,0.35,11.19,0.9,18794430.31,1.28,0.76,1.39,58810735.23,0.05,47697247.64,1089155.1,-1894638.12,1212157.48
